input,target
"""grammar: In the fourth cell there is a man with long dishevelled hair""","""In the fourth cell there is a man with long dishevelled hair ."""
"""grammar: This guide was extensively revised over nine years and was republished in 1980 as a Guide to the Literature of Art History intended for ‘ persons doing serious research in the field of art history ’""","""This guide was extensively revised over nine years , and was republished in 1980 as a Guide to the Literature of Art History , intended for ‘ persons doing serious research in the field of art history ’ ."""
"""grammar: A firm basis for the study of Oriental art came more slowly and as we shall see some of the differences of approach between East and West still require wider recognition""","""A firm basis for the study of Oriental art came more slowly , and as we shall see , some of the differences of approach between East and West still require wider recognition ."""
"""grammar: Safe out of fortune's  shot and sits aloft""","""Safe out of fortune's  shot , and sits aloft ,"""
"""grammar: We will leave it to Goldberg to disengage the tone from the shit he wrote we will leave it to Honeyman and McGough much good may it do them though I will no doubt come back to the question before my project is completed the big glass and the notes to the big glass these two to be worked on at night and this freewheeling commentary on both to be written by day putting down whatever comes into my head after a night's  work no correction no revision whatever comes into my head the first two to be worked on by artificial light the strategy clear this by natural light wherever possible no strategy at all the first to be exhibited the second to be published in the form of sheets in a box a blue box or a red box I have not yet made up my mind in a limited edition not a luxury edition but a restricted edition five hundred boxes perhaps or even two hundred and fifty all that will become clearer in the course of my work on the big glass of my work on the notes to the big glass now I have finally embarked on the major project of my life the climactic project of my life leading to the end of my life all will grow clearer wrote Harsnet whether to try and call back and destroy all I have done till now or let it be whether to burn this commentary or let it be or perhaps leave it to Goldberg to do whatever he wants with all these things will no doubt be resolved before the work is completed that is the beauty of being in the middle of a project that time itself which had seemed such an enemy before I started rushing forward and dragging me with it impervious to my pleas has suddenly turned friendly flops down at my feet licks my ankles lets me know it is on my side""","""We will leave it to Goldberg to disengage the tone from the shit , he wrote , we will leave it to Honeyman and McGough , much good may it do them , though I will no doubt come back to the question before my project is completed , the big glass and the notes to the big glass , these two to be worked on at night , and this freewheeling commentary on both to be written by day , putting down whatever comes into my head after a night's  work , no correction , no revision , whatever comes into my head , the first two to be worked on by artificial light , the strategy clear , this by natural light wherever possible , no strategy at all , the first to be exhibited , the second to be published in the form of sheets in a box , a blue box or a red box , I have not yet made up my mind , in a limited edition , not a luxury edition but a restricted edition , five hundred boxes perhaps or even two hundred and fifty , all that will become clearer in the course of my work on the big glass , of my work on the notes to the big glass , now I have finally embarked on the major project of my life , the climactic project of my life , leading to the end of my life , all will grow clearer , wrote Harsnet , whether to try and call back and destroy all I have done till now or let it be , whether to burn this commentary or let it be , or perhaps leave it to Goldberg to do whatever he wants with , all these things will no doubt be resolved before the work is completed , that is the beauty of being in the middle of a project , that time itself , which had seemed such an enemy before I started , rushing forward and dragging me with it , impervious to my pleas , has suddenly turned friendly , flops down at my feet , licks my ankles , lets me know it is on my side ."""
"""grammar: Avoid cheap versions of Valpolicella ( about £30 a case ) like the plague""","""Avoid cheap versions of Valpolicella ( about £30 a case ) like the plague ."""
"""grammar: Besides his hands were trembling""","""Besides , his hands were trembling ."""
"""grammar: ‘ But I 've heard the stories""","""‘ But I 've heard the stories !"""
"""grammar: Let me first explain Charles Howard""","""Let me first explain Charles Howard ."""
"""grammar: He broke off to applaud a little ball striking a boundary rope not far from us""","""He broke off to applaud a little ball striking a boundary rope not far from us ."""
"""grammar: Once you 've got a little bit of a base you'll  be able to get going again""","""Once you 've got a little bit of a base , you'll  be able to get going again ."""
"""grammar: Choose it for step-overs tubs small bush trees and cordons on rich soil""","""Choose it for step-overs , tubs , small bush trees and cordons on rich soil ."""
"""grammar: The daisies can be as much as 5 or 6in across and are carried in terminal branched heads a truly remarkable sight""","""The daisies can be as much as 5 or 6in across and are carried in terminal branched heads , a truly remarkable sight ."""
"""grammar: Sometimes these accidents are caused by laziness but more often they are the result of someone not realising the significance of doing things the right way""","""Sometimes these accidents are caused by laziness , but more often they are the result of someone not realising the significance of doing things the right way ."""
"""grammar: A high freezing level greatly reduces the risk of shower developing""","""A high freezing level greatly reduces the risk of shower developing ."""
"""grammar: If further bleeding occurs a year or more after your periods have stopped you should always consult your doctor""","""If further bleeding occurs a year or more after your periods have stopped , you should always consult your doctor ."""
"""grammar: ‘ Brought some wine ’ said Jay""","""‘ Brought some wine , ’ said Jay ."""
"""grammar: But leave us out of it just now""","""But leave us out of it just now ."""
"""grammar: The sensation of seeing is for us very different from the sensation of hearing but this can not be directly due to the physical differences between light and sound""","""The sensation of seeing is for us very different from the sensation of hearing , but this can not be directly due to the physical differences between light and sound ."""
"""grammar: As she rounded the gates of the school she saw him sitting on a low wall his little legs dangling swinging backwards and forwards""","""As she rounded the gates of the school she saw him sitting on a low wall , his little legs dangling , swinging backwards and forwards ."""
